feature,label,boundary
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_cam01_P03_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_cam01_P03_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_cam01_P03_cereals.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_cam01_P03_coffee.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_cam01_P03_coffee.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_cam01_P03_coffee.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_cam01_P03_friedegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_cam01_P03_friedegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_cam01_P03_friedegg.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_cam01_P03_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_cam01_P03_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_cam01_P03_milk.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_cam01_P03_salat.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_cam01_P03_salat.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_cam01_P03_salat.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_cam01_P03_sandwich.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_cam01_P03_sandwich.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_cam01_P03_sandwich.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_cam01_P03_tea.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_cam01_P03_tea.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_cam01_P03_tea.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_stereo01_P03_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_stereo01_P03_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_stereo01_P03_cereals.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_stereo01_P03_coffee.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_stereo01_P03_coffee.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_stereo01_P03_coffee.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_stereo01_P03_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_stereo01_P03_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_stereo01_P03_milk.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_stereo01_P03_sandwich.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_stereo01_P03_sandwich.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_stereo01_P03_sandwich.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_stereo01_P03_tea.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_stereo01_P03_tea.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_stereo01_P03_tea.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam01_P03_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam01_P03_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam01_P03_cereals.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam01_P03_coffee.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam01_P03_coffee.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam01_P03_coffee.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam01_P03_friedegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam01_P03_friedegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam01_P03_friedegg.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam01_P03_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam01_P03_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam01_P03_milk.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam01_P03_salat.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam01_P03_salat.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam01_P03_salat.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam01_P03_sandwich.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam01_P03_sandwich.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam01_P03_sandwich.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam01_P03_tea.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam01_P03_tea.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam01_P03_tea.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam02_P03_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam02_P03_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam02_P03_cereals.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam02_P03_coffee.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam02_P03_coffee.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam02_P03_coffee.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam02_P03_friedegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam02_P03_friedegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam02_P03_friedegg.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam02_P03_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam02_P03_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam02_P03_milk.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam02_P03_salat.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam02_P03_salat.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam02_P03_salat.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam02_P03_sandwich.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam02_P03_sandwich.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam02_P03_sandwich.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P03_webcam02_P03_tea.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P03_webcam02_P03_tea.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P03_webcam02_P03_tea.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P04_cam01_P04_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P04_cam01_P04_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P04_cam01_P04_cereals.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P04_cam01_P04_friedegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P04_cam01_P04_friedegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P04_cam01_P04_friedegg.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P04_cam01_P04_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P04_cam01_P04_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P04_cam01_P04_milk.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P04_cam01_P04_pancake.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P04_cam01_P04_pancake.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P04_cam01_P04_pancake.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P04_cam01_P04_sandwich.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P04_cam01_P04_sandwich.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P04_cam01_P04_sandwich.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P04_cam01_P04_scrambledegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P04_cam01_P04_scrambledegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P04_cam01_P04_scrambledegg.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P04_cam01_P04_tea.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P04_cam01_P04_tea.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P04_cam01_P04_tea.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P04_stereo01_P04_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P04_stereo01_P04_cereals.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P04_stereo01_P04_cereals.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P04_stereo01_P04_friedegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P04_stereo01_P04_friedegg.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P04_stereo01_P04_friedegg.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P04_stereo01_P04_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P04_stereo01_P04_milk.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P04_stereo01_P04_milk.npy
/home/neo/BaFormer/baselines/asrf_dataset/breakfast/features/P04_stereo01_P04_pancake.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_arr/P04_stereo01_P04_pancake.npy,/home/neo/BaFormer/baselines/asrf_dataset/breakfast/gt_boundary_arr/P04_stereo01_P04_pancake.npy
